SMSID,SourceMSISDN,DestinationMSISDN,SMSDate,Direction,MessageType,ChargeAmount
480,0740000069,0755123456,2026-04-13,MO,Transactional,50
481,0710000003,0755123456,2026-02-16,MT,Promotional,50
482,0710000068,0755123456,2026-03-07,MO,Promotional,50
483,0710000013,0772123456,2026-03-15,MO,Promotional,50
484,0710000033,0772123456,2026-02-09,MT,Transactional,50
485,0740000087,0772123456,2026-06-07,MT,Promotional,50
486,0710000004,0772123456,2026-03-18,MT,Promotional,50
487,0740000041,0755123456,2026-03-24,MT,Transactional,50
488,0740000016,0772123456,2026-03-03,MO,Transactional,50
489,0710000066,0710000097,2026-04-09,MO,Transactional,50
490,0710000008,0755123456,2026-05-22,MT,Promotional,50
491,0710000062,0755123456,2026-06-12,MO,Promotional,50
492,0740000035,0710000071,2026-06-22,MO,Promotional,50
493,0740000098,0740000072,2026-02-02,MT,Transactional,50
494,0740000058,0710000011,2026-05-09,MO,Promotional,50
495,0740000048,0772123456,2026-03-04,MT,Transactional,50
496,0740000006,0755123456,2026-06-08,MT,Promotional,50
497,0710000001,0755123456,2026-03-11,MT,Transactional,50
498,0710000045,0772123456,2026-05-30,MT,Promotional,50
499,0740000021,0740000095,2026-05-25,MO,Transactional,50
500,0740000012,0740000051,2026-02-01,MO,Transactional,50
501,0710000056,0710000027,2026-05-10,MT,Transactional,50
502,0740000082,0740000034,2026-04-26,MT,Promotional,50
503,0740000085,0755123456,2026-02-23,MT,Transactional,50
504,0710000003,0772123456,2026-06-15,MO,Transactional,50
505,0710000001,0710000002,2026-02-14,MT,Transactional,50
506,0740000098,0740000051,2026-01-21,MO,Promotional,50
507,0710000086,0710000057,2026-02-01,MT,Transactional,50
508,0740000077,0755123456,2026-02-15,MO,Promotional,50
509,0740000060,0772123456,2026-04-24,MO,Promotional,50
510,0740000096,0755123456,2026-06-24,MT,Promotional,50
511,0740000012,0710000079,2026-03-19,MO,Promotional,50
512,0710000064,0772123456,2026-03-13,MT,Promotional,50
513,0710000001,0740000026,2026-04-12,MO,Transactional,50
514,0710000073,0755123456,2026-02-13,MO,Promotional,50
515,0740000009,0772123456,2026-01-17,MO,Transactional,50
516,0710000073,0710000030,2026-03-12,MO,Promotional,50
517,0740000089,0740000087,2026-06-07,MT,Transactional,50
518,0710000001,0710000055,2026-06-22,MO,Transactional,50
519,0710000056,0755123456,2026-02-01,MT,Transactional,50
520,0740000047,0772123456,2026-02-27,MO,Transactional,50
521,0740000054,0755123456,2026-03-22,MO,Transactional,50
522,0740000025,0772123456,2026-05-27,MO,Promotional,50
523,0740000089,0772123456,2026-03-05,MO,Promotional,50
524,0710000043,0772123456,2026-06-10,MO,Promotional,50
525,0710000062,0772123456,2026-06-01,MT,Transactional,50
526,0710000032,0755123456,2026-03-03,MT,Promotional,50
527,0710000043,0772123456,2026-01-19,MT,Promotional,50
528,0740000081,0740000058,2026-02-01,MO,Promotional,50
529,0710000005,0755123456,2026-06-27,MO,Promotional,50
530,0710000008,0772123456,2026-03-19,MT,Promotional,50
531,0710000014,0772123456,2026-05-24,MO,Transactional,50
532,0710000049,0772123456,2026-06-08,MT,Promotional,50
533,0740000077,0740000085,2026-01-03,MT,Transactional,50
534,0740000060,0710000055,2026-06-08,MO,Transactional,50
535,0710000084,0772123456,2026-04-27,MT,Promotional,50
536,0710000014,0772123456,2026-06-02,MO,Promotional,50
537,0740000074,0740000017,2026-05-11,MT,Transactional,50
538,0740000054,0710000062,2026-06-08,MT,Promotional,50
539,0710000032,0772123456,2026-01-16,MO,Transactional,50
540,0740000075,0710000056,2026-06-16,MT,Transactional,50
541,0740000075,0772123456,2026-02-07,MT,Transactional,50
542,0740000078,0755123456,2026-04-05,MO,Promotional,50
543,0710000008,0740000031,2026-05-24,MO,Transactional,50
544,0710000045,0772123456,2026-06-13,MO,Promotional,50
545,0710000044,0740000025,2026-05-02,MT,Transactional,50
546,0740000075,0755123456,2026-06-07,MT,Transactional,50
547,0710000043,0772123456,2026-04-27,MO,Transactional,50
548,0740000029,0710000001,2026-02-27,MO,Transactional,50
549,0710000080,0772123456,2026-05-04,MT,Transactional,50
550,0710000027,0772123456,2026-01-02,MT,Promotional,50
551,0740000010,0772123456,2026-05-23,MO,Promotional,50
552,0710000038,0772123456,2026-06-11,MT,Promotional,50
553,0710000004,0772123456,2026-03-14,MO,Promotional,50
554,0740000034,0772123456,2026-03-28,MO,Promotional,50
555,0740000026,0772123456,2026-03-09,MO,Promotional,50
556,0740000087,0755123456,2026-06-17,MO,Transactional,50
557,0710000027,0755123456,2026-03-03,MT,Transactional,50
558,0740000085,0740000022,2026-06-09,MT,Promotional,50
559,0740000016,0772123456,2026-02-18,MO,Transactional,50
560,0740000089,0755123456,2026-06-03,MT,Promotional,50
561,0740000006,0740000098,2026-05-31,MO,Transactional,50
562,0710000020,0772123456,2026-01-14,MT,Promotional,50
563,0710000066,0755123456,2026-02-23,MO,Transactional,50
564,0740000085,0772123456,2026-02-12,MT,Transactional,50
565,0710000064,0755123456,2026-02-15,MT,Transactional,50
566,0710000068,0755123456,2026-05-07,MT,Transactional,50
567,0740000075,0740000052,2026-05-30,MO,Promotional,50
568,0740000029,0755123456,2026-03-02,MT,Promotional,50
569,0740000040,0755123456,2026-05-27,MO,Transactional,50
570,0710000033,0772123456,2026-02-04,MO,Transactional,50
571,0710000057,0755123456,2026-02-28,MO,Transactional,50
572,0710000066,0755123456,2026-04-20,MT,Transactional,50
573,0710000056,0755123456,2026-05-08,MT,Transactional,50
574,0710000049,0772123456,2026-04-24,MO,Transactional,50
575,0710000083,0755123456,2026-01-22,MT,Promotional,50
576,0740000036,0772123456,2026-01-31,MO,Transactional,50
577,0710000005,0772123456,2026-03-27,MO,Transactional,50
578,0710000033,0740000039,2026-06-24,MT,Promotional,50
579,0740000091,0772123456,2026-05-20,MT,Promotional,50
580,0710000099,0755123456,2026-03-30,MT,Transactional,50
581,0740000075,0710000097,2026-01-04,MT,Promotional,50
582,0740000051,0772123456,2026-02-23,MT,Promotional,50
583,0710000067,0710000076,2026-04-30,MT,Transactional,50
584,0710000011,0772123456,2026-04-20,MT,Promotional,50
585,0710000057,0740000058,2026-01-08,MT,Promotional,50
586,0740000074,0755123456,2026-01-03,MT,Transactional,50
587,0710000044,0755123456,2026-04-19,MT,Transactional,50
588,0740000042,0772123456,2026-05-26,MO,Promotional,50
589,0710000020,0710000043,2026-06-11,MT,Transactional,50
590,0710000027,0772123456,2026-05-17,MT,Promotional,50
591,0740000061,0755123456,2026-05-26,MT,Transactional,50
592,0740000012,0772123456,2026-06-22,MO,Promotional,50
593,0740000089,0755123456,2026-01-07,MO,Promotional,50
594,0740000009,0755123456,2026-02-22,MO,Transactional,50
595,0740000085,0772123456,2026-04-27,MO,Transactional,50
596,0710000067,0772123456,2026-03-25,MT,Transactional,50
597,0740000021,0772123456,2026-05-18,MT,Transactional,50
598,0740000096,0755123456,2026-02-22,MO,Promotional,50
599,0740000040,0710000056,2026-06-20,MT,Promotional,50
600,0740000078,0755123456,2026-05-31,MO,Transactional,50
601,0740000036,0772123456,2026-02-06,MT,Promotional,50
602,0740000052,0772123456,2026-05-15,MT,Transactional,50
603,0710000059,0740000060,2026-01-11,MO,Transactional,50
604,0710000083,0755123456,2026-06-29,MT,Transactional,50
605,0710000079,0755123456,2026-03-05,MO,Transactional,50
606,0710000059,0740000050,2026-02-16,MO,Transactional,50
607,0710000090,0772123456,2026-02-10,MT,Transactional,50
608,0710000086,0740000009,2026-02-25,MT,Transactional,50
609,0740000098,0772123456,2026-04-05,MO,Promotional,50
610,0710000065,0755123456,2026-04-15,MT,Promotional,50
611,0710000033,0710000027,2026-01-12,MT,Promotional,50
612,0740000010,0740000082,2026-06-22,MT,Transactional,50
613,0710000044,0755123456,2026-02-19,MT,Promotional,50
614,0710000002,0772123456,2026-02-04,MT,Transactional,50
615,0710000063,0772123456,2026-01-22,MO,Transactional,50
616,0710000018,0755123456,2026-02-11,MO,Promotional,50
617,0740000078,0772123456,2026-03-17,MO,Transactional,50
618,0740000022,0740000010,2026-01-03,MT,Promotional,50
619,0710000057,0772123456,2026-02-25,MO,Promotional,50
620,0710000057,0772123456,2026-06-12,MO,Transactional,50
621,0740000089,0755123456,2026-01-14,MO,Promotional,50
622,0710000099,0772123456,2026-03-05,MT,Promotional,50
623,0740000026,0772123456,2026-04-18,MO,Promotional,50
624,0710000044,0740000025,2026-06-21,MO,Promotional,50
625,0710000013,0772123456,2026-02-12,MO,Transactional,50
626,0710000066,0755123456,2026-03-24,MO,Promotional,50
627,0740000070,0755123456,2026-01-31,MO,Promotional,50
628,0710000014,0755123456,2026-02-14,MO,Transactional,50
629,0710000084,0772123456,2026-04-10,MO,Transactional,50
630,0740000029,0740000009,2026-03-13,MT,Promotional,50
631,0740000009,0755123456,2026-03-19,MT,Promotional,50
632,0740000092,0740000069,2026-02-13,MT,Promotional,50
633,0740000077,0740000042,2026-06-28,MT,Promotional,50
634,0710000043,0740000023,2026-06-26,MT,Transactional,50
635,0740000009,0772123456,2026-06-05,MT,Transactional,50
636,0710000066,0740000082,2026-03-01,MO,Promotional,50
637,0710000003,0772123456,2026-03-21,MO,Transactional,50
638,0710000097,0710000032,2026-01-21,MO,Promotional,50
639,0740000048,0755123456,2026-02-21,MO,Transactional,50
640,0710000027,0772123456,2026-03-02,MT,Transactional,50
641,0710000018,0755123456,2026-06-14,MO,Transactional,50
642,0710000083,0772123456,2026-02-28,MT,Transactional,50
643,0710000032,0710000027,2026-01-14,MO,Promotional,50
644,0740000078,0710000049,2026-03-24,MO,Transactional,50
645,0740000081,0772123456,2026-05-06,MO,Promotional,50
646,0740000007,0772123456,2026-02-22,MO,Promotional,50
647,0740000023,0710000076,2026-02-22,MO,Promotional,50
648,0710000055,0755123456,2026-03-21,MO,Promotional,50
649,0710000032,0772123456,2026-06-05,MO,Transactional,50
650,0710000037,0755123456,2026-06-12,MO,Transactional,50
651,0710000062,0755123456,2026-04-12,MT,Promotional,50
652,0740000061,0755123456,2026-05-10,MT,Promotional,50
653,0710000062,0755123456,2026-04-20,MO,Transactional,50
654,0740000077,0772123456,2026-05-22,MO,Transactional,50
655,0710000049,0755123456,2026-04-27,MT,Transactional,50
656,0740000072,0755123456,2026-01-19,MT,Promotional,50
657,0740000092,0772123456,2026-02-09,MO,Promotional,50
658,0710000002,0710000065,2026-04-06,MT,Transactional,50
659,0740000054,0740000051,2026-04-06,MT,Transactional,50
660,0740000040,0710000083,2026-01-19,MT,Promotional,50
661,0740000016,0740000050,2026-02-11,MO,Transactional,50
662,0710000033,0710000099,2026-03-31,MT,Transactional,50
663,0710000090,0710000008,2026-04-09,MT,Promotional,50
664,0710000032,0772123456,2026-04-03,MO,Promotional,50
665,0740000034,0755123456,2026-06-24,MO,Transactional,50
666,0710000032,0740000078,2026-06-19,MO,Promotional,50
667,0740000015,0772123456,2026-06-14,MT,Transactional,50
668,0740000091,0772123456,2026-05-13,MO,Transactional,50
669,0740000022,0755123456,2026-06-27,MT,Transactional,50
670,0710000076,0740000040,2026-04-16,MO,Promotional,50
671,0740000082,0755123456,2026-02-06,MT,Promotional,50
672,0740000096,0740000051,2026-03-20,MO,Promotional,50
673,0710000063,0772123456,2026-01-18,MT,Transactional,50
674,0710000084,0710000037,2026-04-21,MO,Promotional,50
675,0740000048,0710000024,2026-02-04,MO,Transactional,50
676,0710000024,0772123456,2026-04-26,MO,Promotional,50
677,0740000026,0710000008,2026-02-16,MO,Transactional,50
678,0710000053,0710000057,2026-06-09,MO,Promotional,50
679,0710000011,0772123456,2026-04-07,MO,Transactional,50
680,0740000009,0772123456,2026-05-30,MO,Transactional,50
681,0710000063,0772123456,2026-01-03,MO,Transactional,50
682,0710000097,0710000001,2026-05-30,MO,Promotional,50
683,0710000028,0772123456,2026-04-07,MT,Transactional,50
684,0740000061,0755123456,2026-06-04,MT,Transactional,50
685,0740000048,0755123456,2026-03-22,MO,Transactional,50
686,0710000086,0755123456,2026-06-06,MO,Transactional,50
687,0710000043,0772123456,2026-04-27,MT,Promotional,50
688,0710000004,0772123456,2026-05-16,MT,Promotional,50
689,0740000048,0740000058,2026-06-25,MT,Transactional,50
690,0740000085,0772123456,2026-06-13,MT,Promotional,50
691,0740000082,0772123456,2026-03-25,MT,Promotional,50
692,0740000078,0755123456,2026-06-06,MO,Transactional,50
693,0710000055,0740000061,2026-06-29,MO,Transactional,50
694,0710000038,0772123456,2026-02-06,MO,Promotional,50
695,0710000064,0755123456,2026-06-22,MT,Promotional,50
696,0740000058,0755123456,2026-06-19,MO,Promotional,50
697,0710000028,0740000022,2026-06-29,MO,Promotional,50
698,0710000056,0772123456,2026-02-11,MT,Transactional,50
699,0710000099,0772123456,2026-03-07,MT,Promotional,50
700,0710000086,0710000018,2026-06-12,MT,Promotional,50
701,0740000089,0772123456,2026-05-28,MO,Transactional,50
702,0710000049,0740000092,2026-04-08,MT,Promotional,50
703,0740000029,0772123456,2026-03-16,MO,Promotional,50
704,0740000012,0710000044,2026-06-01,MO,Promotional,50
705,0740000074,0772123456,2026-03-22,MT,Promotional,50
706,0740000040,0710000008,2026-05-18,MO,Transactional,50
707,0710000055,0755123456,2026-06-23,MO,Promotional,50
708,0710000014,0772123456,2026-05-18,MT,Transactional,50
709,0740000019,0772123456,2026-05-08,MT,Promotional,50
710,0740000077,0772123456,2026-06-20,MO,Transactional,50
711,0740000040,0710000065,2026-02-01,MT,Transactional,50
712,0740000081,0755123456,2026-03-16,MT,Promotional,50
713,0710000043,0710000020,2026-02-23,MO,Promotional,50
714,0710000100,0755123456,2026-04-11,MT,Promotional,50
715,0710000003,0755123456,2026-03-28,MT,Transactional,50
716,0710000045,0755123456,2026-04-11,MO,Transactional,50
717,0710000037,0772123456,2026-06-29,MT,Promotional,50
718,0740000017,0740000042,2026-01-14,MT,Transactional,50
719,0710000084,0740000021,2026-02-05,MT,Transactional,50
720,0710000038,0772123456,2026-02-25,MO,Promotional,50
721,0740000047,0710000093,2026-01-27,MO,Transactional,50
722,0710000055,0772123456,2026-01-15,MO,Transactional,50
723,0740000061,0772123456,2026-01-31,MT,Transactional,50
724,0710000020,0740000081,2026-04-14,MO,Promotional,50
725,0740000016,0755123456,2026-05-06,MT,Promotional,50
726,0710000084,0755123456,2026-06-27,MO,Transactional,50
727,0710000084,0755123456,2026-06-11,MT,Transactional,50
728,0710000002,0772123456,2026-01-22,MO,Transactional,50
729,0710000083,0710000086,2026-02-27,MO,Transactional,50
730,0740000036,0740000089,2026-01-25,MO,Transactional,50
731,0710000062,0710000083,2026-04-22,MT,Promotional,50
732,0710000013,0772123456,2026-05-18,MO,Transactional,50
733,0710000090,0755123456,2026-05-23,MT,Promotional,50
734,0710000067,0740000075,2026-06-16,MO,Promotional,50
735,0740000085,0772123456,2026-06-03,MO,Promotional,50
736,0740000072,0755123456,2026-02-01,MO,Promotional,50
737,0740000074,0710000027,2026-02-11,MO,Transactional,50
738,0710000097,0772123456,2026-02-01,MT,Transactional,50
739,0740000070,0755123456,2026-06-18,MO,Promotional,50
740,0740000039,0740000006,2026-03-17,MT,Promotional,50
741,0740000074,0710000063,2026-03-22,MT,Promotional,50
742,0740000089,0710000013,2026-01-12,MO,Promotional,50
743,0740000025,0755123456,2026-02-25,MO,Promotional,50
744,0710000076,0755123456,2026-02-02,MT,Promotional,50
745,0710000071,0755123456,2026-04-08,MO,Transactional,50
746,0710000059,0755123456,2026-06-23,MT,Promotional,50
747,0740000069,0772123456,2026-06-11,MT,Promotional,50
748,0740000092,0740000048,2026-06-18,MO,Transactional,50
749,0710000020,0755123456,2026-04-08,MO,Promotional,50
750,0740000010,0772123456,2026-05-17,MO,Transactional,50
751,0740000009,0710000043,2026-01-23,MT,Transactional,50
752,0710000100,0772123456,2026-02-27,MT,Promotional,50
753,0710000013,0772123456,2026-04-07,MO,Promotional,50
754,0740000023,0710000068,2026-03-20,MT,Promotional,50
755,0710000068,0710000045,2026-05-27,MT,Transactional,50
756,0740000078,0772123456,2026-02-13,MT,Transactional,50
757,0710000024,0710000045,2026-06-23,MT,Transactional,50
758,0710000076,0755123456,2026-01-03,MO,Promotional,50
759,0740000019,0710000049,2026-03-10,MO,Transactional,50
760,0740000091,0772123456,2026-06-23,MT,Transactional,50
761,0710000024,0755123456,2026-04-30,MT,Transactional,50
762,0710000055,0710000067,2026-02-28,MT,Promotional,50
763,0740000040,0755123456,2026-01-24,MO,Promotional,50
764,0740000094,0772123456,2026-02-12,MO,Promotional,50
765,0740000096,0710000037,2026-05-07,MO,Transactional,50
766,0740000087,0710000066,2026-02-04,MT,Transactional,50
767,0710000066,0710000088,2026-05-17,MO,Transactional,50
768,0710000002,0772123456,2026-01-02,MT,Transactional,50
769,0710000032,0740000095,2026-05-16,MO,Transactional,50
770,0740000022,0740000087,2026-02-27,MO,Promotional,50
771,0740000047,0710000018,2026-04-01,MO,Transactional,50
772,0710000064,0772123456,2026-04-06,MO,Transactional,50
773,0740000087,0710000032,2026-01-31,MT,Transactional,50
774,0710000062,0755123456,2026-02-24,MO,Transactional,50
775,0710000028,0740000040,2026-05-12,MO,Transactional,50
776,0710000080,0772123456,2026-04-02,MO,Transactional,50
777,0710000043,0755123456,2026-01-28,MO,Transactional,50
778,0710000093,0755123456,2026-04-01,MO,Promotional,50
779,0710000056,0772123456,2026-01-22,MO,Transactional,50
780,0740000016,0772123456,2026-02-09,MT,Promotional,50
781,0740000061,0755123456,2026-03-18,MT,Transactional,50
782,0710000024,0755123456,2026-01-28,MT,Transactional,50
783,0740000021,0755123456,2026-04-22,MO,Transactional,50
784,0740000091,0772123456,2026-02-18,MT,Promotional,50
785,0710000018,0755123456,2026-03-26,MO,Promotional,50
786,0710000086,0755123456,2026-06-20,MT,Promotional,50
787,0740000054,0710000063,2026-05-07,MO,Transactional,50
788,0710000097,0755123456,2026-05-09,MT,Promotional,50
789,0740000015,0772123456,2026-02-02,MO,Transactional,50
790,0710000065,0710000002,2026-03-02,MO,Transactional,50
791,0710000055,0740000077,2026-01-03,MT,Transactional,50
792,0710000038,0755123456,2026-01-22,MT,Promotional,50
793,0710000080,0710000020,2026-05-11,MO,Promotional,50
794,0740000036,0772123456,2026-03-09,MO,Transactional,50
795,0740000026,0740000061,2026-01-27,MO,Promotional,50
796,0710000076,0740000081,2026-02-08,MO,Promotional,50
797,0740000017,0772123456,2026-03-12,MO,Promotional,50
798,0710000055,0710000003,2026-02-21,MO,Promotional,50
799,0710000049,0710000053,2026-03-20,MO,Promotional,50
800,0710000044,0755123456,2026-01-16,MT,Promotional,50
801,0740000039,0755123456,2026-04-04,MT,Transactional,50
802,0740000092,0772123456,2026-03-23,MO,Promotional,50
803,0740000006,0772123456,2026-06-19,MT,Promotional,50
804,0710000037,0755123456,2026-06-05,MO,Transactional,50
805,0710000024,0755123456,2026-04-04,MT,Transactional,50
806,0740000015,0710000013,2026-01-04,MO,Transactional,50
807,0740000047,0755123456,2026-05-31,MT,Promotional,50
808,0710000084,0772123456,2026-05-30,MT,Promotional,50
809,0710000014,0740000017,2026-06-04,MO,Promotional,50
810,0710000076,0772123456,2026-02-19,MT,Promotional,50
811,0740000010,0740000070,2026-03-29,MT,Transactional,50
812,0740000098,0740000026,2026-02-09,MO,Promotional,50
813,0740000025,0740000054,2026-03-06,MT,Transactional,50
814,0740000058,0740000081,2026-01-31,MT,Promotional,50
815,0710000062,0740000054,2026-05-09,MO,Promotional,50
816,0740000077,0740000036,2026-02-03,MT,Promotional,50
817,0710000073,0710000008,2026-02-18,MT,Transactional,50
818,0710000088,0740000069,2026-01-20,MO,Transactional,50
819,0710000097,0755123456,2026-05-24,MT,Transactional,50
820,0740000078,0772123456,2026-02-17,MO,Promotional,50
821,0740000074,0710000028,2026-06-28,MO,Transactional,50
822,0710000065,0740000091,2026-05-15,MT,Transactional,50
823,0740000029,0710000038,2026-03-10,MO,Promotional,50
824,0740000029,0740000006,2026-03-02,MT,Promotional,50
825,0740000082,0755123456,2026-02-04,MT,Promotional,50
826,0710000083,0772123456,2026-05-17,MO,Promotional,50
827,0710000084,0710000045,2026-06-04,MT,Transactional,50
828,0710000011,0740000091,2026-03-09,MO,Transactional,50
829,0710000079,0755123456,2026-01-15,MO,Transactional,50
830,0740000029,0755123456,2026-02-15,MT,Promotional,50
831,0740000069,0740000085,2026-01-28,MT,Transactional,50
832,0740000081,0740000082,2026-05-22,MO,Transactional,50
833,0740000029,0755123456,2026-02-22,MT,Promotional,50
834,0740000058,0710000030,2026-04-22,MT,Promotional,50
835,0710000062,0755123456,2026-02-16,MT,Promotional,50
836,0740000023,0740000025,2026-05-06,MO,Transactional,50
837,0710000003,0772123456,2026-02-15,MT,Promotional,50
838,0740000009,0772123456,2026-04-20,MO,Transactional,50
839,0710000083,0772123456,2026-05-15,MO,Promotional,50
840,0740000078,0755123456,2026-04-09,MO,Promotional,50
841,0710000002,0740000098,2026-01-12,MO,Promotional,50
842,0710000099,0755123456,2026-02-06,MO,Promotional,50
843,0710000014,0740000070,2026-03-28,MO,Promotional,50
844,0710000018,0710000062,2026-04-24,MO,Transactional,50
845,0710000043,0772123456,2026-03-04,MO,Transactional,50
846,0740000081,0772123456,2026-01-06,MO,Promotional,50
847,0740000070,0772123456,2026-05-11,MT,Promotional,50
848,0710000001,0772123456,2026-02-28,MT,Transactional,50
849,0740000019,0740000046,2026-03-15,MO,Transactional,50
850,0710000088,0772123456,2026-05-06,MO,Promotional,50
851,0740000029,0755123456,2026-04-02,MO,Transactional,50
852,0740000016,0772123456,2026-01-12,MO,Promotional,50
853,0710000055,0755123456,2026-06-03,MO,Transactional,50
854,0710000020,0710000086,2026-03-19,MT,Transactional,50
855,0710000014,0755123456,2026-06-19,MT,Transactional,50
856,0740000092,0772123456,2026-02-08,MO,Transactional,50
857,0740000019,0755123456,2026-05-03,MO,Promotional,50
858,0740000074,0710000055,2026-03-13,MO,Promotional,50
859,0740000042,0772123456,2026-04-09,MT,Transactional,50
860,0710000064,0755123456,2026-06-27,MT,Transactional,50
861,0710000018,0772123456,2026-04-09,MT,Transactional,50
862,0740000069,0755123456,2026-05-17,MO,Transactional,50
863,0710000011,0740000075,2026-04-18,MO,Promotional,50
864,0740000031,0772123456,2026-02-22,MO,Transactional,50
865,0740000072,0772123456,2026-01-29,MO,Transactional,50
866,0740000047,0772123456,2026-03-17,MT,Promotional,50
867,0710000071,0772123456,2026-02-23,MO,Promotional,50
868,0740000096,0772123456,2026-06-28,MO,Transactional,50
869,0740000094,0710000004,2026-04-19,MT,Promotional,50
870,0710000090,0710000014,2026-05-29,MO,Transactional,50
871,0740000077,0772123456,2026-02-07,MT,Promotional,50
872,0710000011,0772123456,2026-01-04,MT,Promotional,50
873,0740000098,0755123456,2026-02-05,MT,Transactional,50
874,0710000053,0755123456,2026-04-24,MO,Transactional,50
875,0740000015,0772123456,2026-06-14,MO,Promotional,50
876,0710000065,0772123456,2026-04-12,MT,Transactional,50
877,0710000071,0755123456,2026-05-27,MT,Promotional,50
878,0710000055,0755123456,2026-01-24,MT,Promotional,50
879,0740000096,0755123456,2026-06-08,MO,Promotional,50
880,0740000051,0710000024,2026-05-24,MO,Transactional,50
881,0710000062,0740000041,2026-06-14,MT,Transactional,50
882,0740000022,0755123456,2026-06-15,MT,Promotional,50
883,0740000035,0772123456,2026-01-20,MT,Transactional,50
884,0710000004,0755123456,2026-02-11,MO,Promotional,50
885,0710000028,0772123456,2026-03-21,MO,Promotional,50
886,0740000082,0772123456,2026-03-10,MO,Promotional,50
887,0710000073,0772123456,2026-01-13,MT,Promotional,50
888,0740000040,0755123456,2026-03-14,MT,Promotional,50
889,0740000041,0755123456,2026-04-02,MO,Promotional,50
890,0710000043,0710000053,2026-05-09,MO,Promotional,50
891,0710000004,0755123456,2026-05-03,MO,Transactional,50
892,0740000021,0710000020,2026-04-29,MO,Promotional,50
893,0740000092,0772123456,2026-06-24,MO,Promotional,50
894,0710000065,0710000067,2026-06-05,MT,Transactional,50
895,0740000017,0755123456,2026-04-03,MT,Promotional,50
896,0740000092,0710000100,2026-04-10,MO,Promotional,50
897,0710000079,0772123456,2026-02-09,MT,Promotional,50
898,0710000002,0755123456,2026-05-21,MO,Transactional,50
899,0710000013,0755123456,2026-02-13,MT,Promotional,50
900,0740000009,0740000036,2026-04-04,MT,Promotional,50
901,0740000010,0740000023,2026-04-28,MT,Transactional,50
902,0710000033,0755123456,2026-06-16,MO,Promotional,50
903,0710000073,0772123456,2026-04-04,MT,Transactional,50
904,0710000053,0710000080,2026-02-03,MT,Transactional,50
905,0710000066,0755123456,2026-04-06,MO,Transactional,50
906,0710000065,0755123456,2026-06-24,MO,Promotional,50
907,0740000095,0710000032,2026-05-24,MO,Promotional,50
908,0710000014,0755123456,2026-02-10,MT,Promotional,50
909,0740000029,0755123456,2026-06-21,MO,Transactional,50
910,0740000060,0740000060,2026-05-17,MT,Promotional,50
911,0710000011,0710000024,2026-01-28,MT,Transactional,50
912,0740000026,0755123456,2026-01-17,MT,Transactional,50
913,0740000078,0772123456,2026-06-29,MT,Promotional,50
914,0740000036,0772123456,2026-05-20,MO,Transactional,50
915,0740000019,0772123456,2026-03-23,MO,Transactional,50
916,0710000008,0755123456,2026-05-02,MO,Promotional,50
917,0710000028,0710000003,2026-04-19,MT,Transactional,50
918,0740000082,0772123456,2026-02-06,MO,Transactional,50
919,0740000052,0755123456,2026-04-26,MT,Promotional,50
920,0710000086,0772123456,2026-01-14,MO,Transactional,50
921,0710000044,0755123456,2026-02-12,MO,Transactional,50
922,0740000054,0755123456,2026-05-18,MO,Transactional,50
923,0740000046,0740000089,2026-04-10,MO,Promotional,50
924,0740000010,0710000093,2026-05-29,MO,Transactional,50
925,0710000086,0740000094,2026-03-23,MO,Promotional,50
926,0710000059,0755123456,2026-03-23,MO,Transactional,50
927,0740000034,0710000067,2026-01-01,MT,Promotional,50
928,0740000082,0740000058,2026-05-29,MO,Promotional,50
929,0710000028,0772123456,2026-04-18,MO,Transactional,50
930,0710000028,0772123456,2026-02-18,MO,Transactional,50
931,0740000047,0755123456,2026-03-20,MO,Transactional,50
932,0710000084,0755123456,2026-04-16,MT,Transactional,50
933,0740000070,0710000055,2026-03-27,MO,Promotional,50
934,0710000059,0755123456,2026-02-15,MO,Transactional,50
935,0710000049,0710000037,2026-06-26,MT,Transactional,50
936,0710000090,0772123456,2026-01-23,MO,Promotional,50
937,0710000084,0710000003,2026-04-16,MO,Transactional,50
938,0740000096,0710000097,2026-05-20,MO,Transactional,50
939,0710000065,0772123456,2026-06-20,MT,Transactional,50
940,0710000028,0755123456,2026-05-22,MT,Promotional,50
941,0740000026,0772123456,2026-03-31,MT,Transactional,50
942,0710000083,0740000091,2026-04-12,MO,Transactional,50
943,0740000029,0755123456,2026-03-10,MT,Transactional,50
944,0740000054,0772123456,2026-01-02,MT,Promotional,50
945,0710000002,0772123456,2026-04-06,MT,Transactional,50
946,0740000022,0755123456,2026-03-03,MT,Promotional,50
947,0710000079,0755123456,2026-01-14,MT,Promotional,50
948,0740000082,0740000050,2026-02-14,MT,Transactional,50
949,0710000067,0755123456,2026-03-01,MO,Promotional,50
950,0710000065,0740000016,2026-05-28,MT,Transactional,50
951,0710000071,0755123456,2026-02-22,MO,Promotional,50
952,0710000004,0772123456,2026-06-10,MO,Promotional,50
953,0710000080,0740000091,2026-01-21,MT,Promotional,50
954,0740000096,0772123456,2026-04-27,MT,Promotional,50
955,0740000031,0772123456,2026-03-18,MO,Promotional,50
956,0710000093,0755123456,2026-03-08,MO,Transactional,50
957,0710000011,0740000019,2026-01-06,MO,Promotional,50
958,0710000059,0772123456,2026-01-28,MO,Transactional,50
959,0740000034,0772123456,2026-01-20,MT,Transactional,50
960,0710000027,0772123456,2026-05-06,MO,Transactional,50
